                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.77258,                 1.0108,                0.39256,                0.87044,                0.81282,                0.79647,                 0.8567,                0.67604,                0.79289,                0.76749,                 0.8311,                0.64463,                0.89445,                 1.3131,                0.44589,                 1.0232,              0.0011719,              0.0011719,              0.0011719
                     92,                 0.7548,                 1.0035,                0.38928,                0.86662,                0.80573,                0.70393,                0.75981,                0.60706,                0.79412,                0.68584,                0.74055,                0.53795,                0.88433,                 1.2533,                0.43397,                 1.0236,              0.0011664,              0.0011664,              0.0011664
                     93,                0.78145,                 1.0153,                0.39624,                 0.8637,                0.80338,                0.68689,                0.73755,                0.57211,                0.78046,                0.66975,                0.71342,                0.50309,                0.88316,                 1.3294,                0.44299,                 1.0159,              0.0011609,              0.0011609,              0.0011609
                     94,                0.77582,                0.99934,                0.39633,                0.86247,                 0.9113,                0.70278,                0.79047,                0.64007,                 0.9003,                0.67591,                0.76931,                0.56013,                0.85007,                 1.2741,                0.43049,                0.98879,              0.0011554,              0.0011554,              0.0011554
                     95,                0.76865,                 1.0169,                0.39756,                 0.8678,                0.84477,                0.73909,                0.78479,                0.59928,                 0.8147,                0.71552,                0.75859,                0.53735,                0.86994,                  1.318,                0.43681,                 1.0107,              0.0011499,              0.0011499,              0.0011499
                     96,                0.79098,                 1.0304,                 0.3948,                0.86534,                0.89041,                0.73732,                0.83004,                0.67507,                0.87312,                0.71294,                0.81001,                0.59019,                0.88949,                 1.3195,                0.43242,                 1.0128,              0.0011444,              0.0011444,              0.0011444
                     97,                0.76393,                 1.0032,                0.39168,                0.86533,                0.85253,                0.69076,                0.79763,                0.62635,                0.83483,                0.67659,                0.77545,                0.56646,                0.88102,                 1.3515,                 0.4327,                 1.0141,              0.0011389,              0.0011389,              0.0011389
                     98,                0.76944,                0.97903,                0.39053,                0.85541,                0.79876,                0.79156,                0.82047,                 0.6551,                0.77145,                0.77105,                 0.7986,                0.59381,                0.87735,                 1.3391,                0.43985,                 1.0091,              0.0011334,              0.0011334,              0.0011334
                     99,                0.76118,                 1.0067,                0.39013,                0.86086,                0.80542,                0.74135,                0.80735,                0.63157,                0.78332,                0.72052,                0.78089,                0.56652,                0.86178,                 1.2914,                 0.4449,                 1.0091,              0.0011279,              0.0011279,              0.0011279
                    100,                0.76378,                 0.9774,                0.38926,                0.85391,                0.93185,                0.71786,                0.83379,                0.62873,                0.90651,                0.69867,                0.81312,                0.57429,                0.86276,                 1.3149,                0.43481,                 1.0079,              0.0011224,              0.0011224,              0.0011224
                    101,                0.77557,                0.98127,                0.39293,                0.85218,                0.86916,                0.75519,                0.84405,                0.65212,                0.82982,                0.73619,                0.81512,                0.58755,                0.88287,                 1.4089,                0.44286,                 1.0035,              0.0011169,              0.0011169,              0.0011169
                    102,                0.74487,                0.95899,                0.38657,                0.85755,                0.94743,                0.76853,                0.87997,                0.69807,                0.93362,                0.75347,                0.85852,                0.61733,                0.86911,                 1.3389,                0.43489,                 1.0018,              0.0011114,              0.0011114,              0.0011114
                    103,                0.75017,                0.98128,                0.38599,                0.85421,                0.94502,                0.79357,                 0.8827,                0.65554,                0.92187,                 0.7722,                0.85815,                0.60677,                0.86621,                 1.3646,                0.42146,                 1.0093,              0.0011059,              0.0011059,              0.0011059
                    104,                0.75245,                0.97984,                0.38157,                0.85427,                0.83257,                0.74711,                  0.833,                0.60408,                0.80998,                0.72615,                0.81001,                0.55915,                0.90229,                 1.4053,                0.43855,                 1.0334,              0.0011004,              0.0011004,              0.0011004
                    105,                0.76219,                0.98918,                0.38879,                0.85311,                0.76992,                0.74355,                 0.7982,                0.60573,                0.74142,                0.72039,                0.75452,                0.55672,                0.86547,                 1.4168,                0.42719,                 1.0228,              0.0010949,              0.0010949,              0.0010949
